sample,id,Period,Year,x,y,GeneticGroup,SpawnTime,Stock
201750158,faroe_20,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750159,faroe_21,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750201,iceland_1,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750202,iceland_2,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750203,iceland_3,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750204,iceland_4,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750205,iceland_5,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750206,iceland_6,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750207,iceland_7,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750212,iceland_8,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750214,iceland_9,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750215,iceland_10,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750216,iceland_11,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750217,iceland_12,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750218,iceland_13,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750219,iceland_14,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750221,iceland_15,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750222,iceland_16,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750223,iceland_17,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750224,iceland_18,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750225,iceland_19,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750226,iceland_20,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750227,iceland_21,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750228,iceland_22,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750231,iceland_23,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750232,iceland_24,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750233,iceland_25,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750234,iceland_26,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750235,iceland_27,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750236,iceland_28,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750237,iceland_29,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
201750238,iceland_30,mh,2017,-19.09193,63.06307,North Atlantic,Autumn,North Atlantic Autumn-Spawner
1552004523,norwegian_9,mh,2015,-1.84517,64.51262,North Atlantic,Autumn,North Atlantic Autumn-Spawner
1552004524,norwegian_10,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552004526,norwegian_11,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552004722,norwegian_12,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552004723,norwegian_13,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552004724,norwegian_14,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552005123,norwegian_15,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552005124,norwegian_16,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552005125,norwegian_17,mh,2015,-1.84517,64.51262,North Atlantic,Spring,North Atlantic Spring-Spawner
1552005524,norwegian_18,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552005525,norwegian_19,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552005923,norwegian_20,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552005924,norwegian_21,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552006326,norwegian_22,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
1552006327,norwegian_23,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2015501410,faroe_22,mh,2015,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
2015501411,faroe_23,mh,2015,-7.03463,61.88078,North Sea,Autumn,North Sea Autumn-Spawner
2015505610,norwegian_24,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2015505612,norwegian_25,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2015505613,norwegian_26,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2015505622,norwegian_27,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2015505623,norwegian_28,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2015505624,norwegian_29,mh,2015,-1.84517,64.51262,Norwegian,Spring,Norwegian Spring-Spawner
2016507910,northsea_9,mh,2016,1.64507,59.81814,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
2016507911,northsea_10,mh,2016,1.64507,59.81814,Britain & Ireland,Spring,Ireland & Britain Spring-Spawner
2016507912,northsea_11,mh,2016,1.64507,59.81814,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
2016507913,northsea_12,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
2016507915,northsea_13,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
2016507916,northsea_14,mh,2016,1.64507,59.81814,Skagerrak & Kattegat,Spring,Skagerrak & Kattegat Spring-Spawner
2016507918,northsea_15,mh,2016,1.64507,59.81814,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
2016507919,northsea_16,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
2016507920,northsea_17,mh,2016,1.64507,59.81814,North Sea,Autumn,North Sea Autumn-Spawner
2017501410,faroe_24,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
2017501411,faroe_25,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
2017501414,faroe_26,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
2017501510,faroe_27,mh,2017,-7.03463,61.88078,North Atlantic,Autumn,North Atlantic Autumn-Spawner
AAL1,celtic_1,mh,2015,-6.85,51.983333333333300,Britain & Ireland,Spring,Ireland & Britain Spring-Spawner
AAL2,celtic_2,mh,2015,-6.85,51.983333333333300,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
AAL3,celtic_3,mh,2015,-6.85,51.983333333333300,Britain & Ireland,Autumn,Ireland & Britain Autumn-Spawner
