sample,id,Region,Spawn,old_id,Period,Year,Inversion,PC1,PC2
2017501410,faroe_24,North Atlantic,autumn,2017501410,Present-day,2017,North,-0.0540753207806198,-0.0324270094342517
2017501411,faroe_25,North Atlantic,autumn,2017501411,Present-day,2017,North,-0.0545789685033128,-0.0304356545837313
2017501414,faroe_26,North Atlantic,autumn,2017501414,Present-day,2017,North,-0.0535022224245027,-0.0301303061189517
2017501510,faroe_27,North Atlantic,autumn,2017501510,Present-day,2017,North,-0.0526411563500746,-0.0203773970849193
AAL1,celtic_1,Britain & Ireland,winter,AAL1,Present-day,2015,Het,0.0210368720128099,-0.0433408619385999
AAL2,celtic_2,Britain & Ireland,winter,AAL2,Present-day,2015,South,0.0791064077418282,-0.0538115572709068
AAL3,celtic_3,Britain & Ireland,winter,AAL3,Present-day,2015,South,0.0790184329172624,-0.0530757272484719
AF29,norwegian_30,Norway,spring,AF29,Present-day,2013,North,-0.0553978624737733,-0.0316951042364017
AF30,norwegian_31,Norway,spring,AF30,Present-day,2013,North,-0.0529056597029992,-0.0307612829614466
AF31,norwegian_32,Norway,spring,AF31,Present-day,2013,Het,0.0131556451791132,-0.035450052087401
AF8,norwegian_33,Norway,spring,AF8,Present-day,2013,Het,0.0124137396360405,-0.0335290934722533
AK1,downs_1,Britain & Ireland,winter,AK1,Present-day,2016,South,0.0781420371734863,-0.0555167378802086
AK2,downs_2,Britain & Ireland,winter,AK2,Present-day,2016,South,0.0784829376621861,-0.0546649648403472
AK3,downs_3,Britain & Ireland,winter,AK3,Present-day,2016,South,0.0784034723442298,-0.0546689689759616
AM27,norwegian_34,Norway,spring,AM27,Present-day,1980,North,-0.0514792083758567,-0.0299205346887322
AM29,norwegian_35,Norway,spring,AM29,Present-day,1980,North,-0.0551607299492309,-0.0298590598995317
AM33,norwegian_36,Norway,spring,AM33,Present-day,1980,Het,0.0134543389174834,-0.0339435691516938
AM8,norwegian_37,Norway,spring,AM8,Present-day,1980,North,-0.0546932545258759,-0.0298900415940946
BF16,hastkar_1,Bothnia,spring,BF16,Present-day,2013,North,-0.0538989872445462,-0.0296131463732599
BF18,hastkar_2,Bothnia,spring,BF18,Present-day,2013,North,-0.0540897532410973,-0.0305578825336104
BF19,hastkar_3,Bothnia,spring,BF19,Present-day,2013,North,-0.0464319778105353,-0.0267308652705181
BF21,hastkar_4,Bothnia,spring,BF21,Present-day,2013,North,-0.0424247347498323,-0.0281410766755593
BM14,hastkar_5,Bothnia,spring,BM14,Present-day,2013,North,-0.0513628541746372,-0.0303647144659307
BM15,hastkar_6,Bothnia,spring,BM15,Present-day,2013,North,-0.0545072326325582,-0.0292783695959875
BM16,hastkar_7,Bothnia,spring,BM16,Present-day,2013,North,-0.049158876036425,-0.0297012896458679
BM19,hastkar_8,Bothnia,spring,BM19,Present-day,2013,North,-0.051066781001826,-0.0294798144314426
Fehmarn3,fehmarn_4,Belt,autumn,Fehmarn3,Present-day,1979,North,-0.0436658956436736,-0.0357039641844596
Fehmarn44,fehmarn_5,Belt,autumn,Fehmarn44,Present-day,1979,North,-0.050905161704262,-0.0373258211300748
Fehmarn6,fehmarn_6,Belt,autumn,Fehmarn6,Present-day,1979,North,-0.0320240855832783,-0.0413036299823168
Gavle100,gavle_4,Bothnia,autumn,Gavle100,Present-day,2012,North,-0.0514566460868494,-0.0381915643746536
Gavle54,gavle_5,Bothnia,autumn,Gavle54,Present-day,2012,South,0.0746874154937178,-0.0532243975840306
Gavle98,gavle_6,Bothnia,autumn,Gavle98,Present-day,2012,North,-0.0501484727155276,-0.0388636399950057
HER065,netherlands_7,North Sea,autumn/winter,HER065,Before 1700s,1400,South,0.0861667605207464,0.0287399499644454
HER067,netherlands_8,North Sea,autumn/winter,HER067,Before 1700s,1400,South,0.0857919567192042,0.0259503061418374
HER102,york_1,Britain & Ireland,autumn/winter,HER102,Before 1700s,1100,South,0.0853502775617586,0.0224212383235369
HER104,york_2,Britain & Ireland,autumn/winter,HER104,Before 1700s,1100,South,0.0849618361596095,0.0187010966415297
HER106,york_4,Britain & Ireland,autumn/winter,HER106,Before 1700s,955,South,0.0859811970260026,0.0223138318942326
HER109,york_5,Britain & Ireland,autumn/winter,HER109,Before 1700s,955,South,0.0853370237874475,0.023887864560747
HER124,york_8,Britain & Ireland,autumn/winter,HER124,Before 1700s,1300,South,0.0840811193589268,0.0165228221619627
HER127,york_9,Britain & Ireland,autumn/winter,HER127,Before 1700s,1300,South,0.08538994872371,0.0260838542018197
HER132,lyminge_3,Britain & Ireland,autumn/winter,HER132,Before 1700s,800,South,0.0856049898847501,0.0217003211045923
HER133,lyminge_4,Britain & Ireland,autumn/winter,HER133,Before 1700s,800,South,0.0848165907463816,0.0242296442362977
HER134,lyminge_5,Britain & Ireland,autumn/winter,HER134,Before 1700s,800,South,0.0844956210730675,0.0234087559045687
MHER001,karmoy_1,Norway,spring,MHER001,Present-day,2002,North,-0.0551671416697798,-0.037704583117745
MHER002,karmoy_2,Norway,spring,MHER002,Present-day,2002,North,-0.0501195059410266,-0.033191405032624
MHER003,karmoy_3,Norway,spring,MHER003,Present-day,2002,Het,0.0123902433085268,-0.0464973374261681
MHER005,more_1,Norway,spring,MHER005,Present-day,2002,North,-0.0506771556397591,-0.0319780340114591
MHER006,more_2,Norway,spring,MHER006,Present-day,2002,North,-0.053119300319245,-0.0372973375519889
MHER007,more_3,Norway,spring,MHER007,Present-day,2002,North,-0.0532500789259894,-0.0373868874786753
MHER008,more_4,Norway,spring,MHER008,Present-day,2002,North,-0.0546725407066707,-0.0377587100114681
MHER009,risor_1,Skagerrak & Kattegat,spring,MHER009,Present-day,2003,South,0.0722197087512181,-0.0551234788876156
MHER010,risor_2,Skagerrak & Kattegat,spring,MHER010,Present-day,2003,North,-0.054693088650714,-0.0378285922099876
MHER011,risor_3,Skagerrak & Kattegat,spring,MHER011,Present-day,2003,Het,0.0112570912928353,-0.0427423920997842
MHER012,risor_4,Skagerrak & Kattegat,spring,MHER012,Present-day,2003,Het,0.0109895269075428,-0.045083473777543
MHER013,maseskar_1,Skagerrak & Kattegat,spring,MHER013,Present-day,2003,South,0.0764955416425283,-0.0535282752636722
MHER014,maseskar_2,Skagerrak & Kattegat,spring,MHER014,Present-day,2003,South,0.0773350109614293,-0.0539636038997573
MHER015,maseskar_3,Skagerrak & Kattegat,spring,MHER015,Present-day,2003,South,0.0769954987125762,-0.0538943996348863
MHER016,kalix_1,Bothnia,spring,MHER016,Present-day,2002,North,-0.0556348517340055,-0.0395067064917984
MHER017,kalix_2,Bothnia,spring,MHER017,Present-day,2002,North,-0.0501283878065453,-0.039576215670033
MHER018,kalix_3,Bothnia,spring,MHER018,Present-day,2002,North,-0.040068318155308,-0.0352293675786297
MHER019,kalmarsund_1,Baltic,spring,MHER019,Present-day,2010,North,-0.0538938675897116,-0.0357627595427845
MHER020,kalmarsund_2,Baltic,spring,MHER020,Present-day,2010,Het,0.0124609745072933,-0.0443378824921924
MHER021,kalmarsund_3,Baltic,spring,MHER021,Present-day,2010,North,-0.0521765256181402,-0.0407959698049167
MHER022,idefjord_1,Skagerrak & Kattegat,spring,MHER022,Present-day,2010,Het,0.0198098522380207,-0.0468009278361755
MHER023,idefjord_2,Skagerrak & Kattegat,spring,MHER023,Present-day,2010,Het,0.0135256224164055,-0.0424259024817139
MHER024,idefjord_3,Skagerrak & Kattegat,spring,MHER024,Present-day,2010,Het,0.0117000145499007,-0.0473223045408778
MHER025,blekinge_1,Baltic,spring,MHER025,Present-day,2010,North,-0.0471661835454122,-0.0419955607735578
MHER026,blekinge_2,Baltic,spring,MHER026,Present-day,2010,Het,0.0162644120779281,-0.0456176076017752
MHER027,blekinge_3,Baltic,spring,MHER027,Present-day,2010,Het,0.0112828295674089,-0.0448074207340144
MHER028,idefjord_4,Skagerrak & Kattegat,spring,MHER028,Present-day,2010,South,0.0760374221536215,-0.0563029281562805
MHER029,idefjord_5,Skagerrak & Kattegat,spring,MHER029,Present-day,2010,South,0.0739592437756898,-0.0525909014117534
MHER030,idefjord_6,Skagerrak & Kattegat,spring,MHER030,Present-day,2010,Het,0.0154472302086439,-0.0487154588183217
MHER034,maseskar_4,Skagerrak & Kattegat,spring,MHER034,Present-day,2003,South,0.0764418331571341,-0.0560468725138238
