id,x,y,spawn
HWS34,64.0,37.9,
HWS41,67.04,32.55,
HWS42,67.04,32.55,
HWS43,67.04,32.55,
HWS44,67.04,32.55,
HWS51,66.65,34.25,
HWS52,66.65,34.25,
HWS53,66.65,34.25,
HWS54,66.65,34.25,
HWS61,69.27,19.28,
HWS62,69.27,19.28,
HWS63,69.27,19.28,
HWS64,69.27,19.28,
NorthSea13,58.1,6.166666666666667,
NorthSea19,58.1,6.166666666666667,
NorthSea34,58.1,6.166666666666667,
NSSH33,58.1,6.166666666666667,
NSSH34,58.1,6.166666666666667,
NSSH36,58.1,6.166666666666667,
Pacific16,49.35685,-123.87275,
Pacific3,49.35685,-123.87272,
Pacific30,49.35685,-123.87269,
Pacific35,49.35685,-123.87266,
Pacific44,49.35685,-123.87263,
Pacific5,49.35685,-123.8726,
Z12,54.1,-4.616666666666667,
Z14,54.1,-4.616666666666667,
Z4,54.1,-4.616666666666667,
2016507910,59.81814,1.64507,autumn
2016507911,59.81814,1.64507,autumn
2016507912,59.81814,1.64507,autumn
2016507913,59.81814,1.64507,autumn
2016507915,59.81814,1.64507,autumn
2016507916,59.81814,1.64507,autumn
2016507918,59.81814,1.64507,autumn
2016507919,59.81814,1.64507,autumn
2016507920,59.81814,1.64507,autumn
201650792,59.81814,1.64507,autumn
201650793,59.81814,1.64507,autumn
201650794,59.81814,1.64507,autumn
201650795,59.81814,1.64507,autumn
201650796,59.81814,1.64507,autumn
201650797,59.81814,1.64507,autumn
201650798,59.81814,1.64507,autumn
201650799,59.81814,1.64507,autumn
201450544,61.88078,-7.03463,spring
201450545,61.88078,-7.03463,spring
2015501410,61.88078,-7.03463,spring
2015501411,61.88078,-7.03463,spring
201550141,61.88078,-7.03463,spring
201550142,61.88078,-7.03463,spring
201550143,61.88078,-7.03463,spring
201550145,61.88078,-7.03463,spring
201550147,61.88078,-7.03463,spring
201550149,61.88078,-7.03463,spring
201604591,61.88078,-7.03463,spring
2017501410,61.88078,-7.03463,spring
2017501411,61.88078,-7.03463,spring
2017501414,61.88078,-7.03463,spring
201750143,61.88078,-7.03463,spring
201750144,61.88078,-7.03463,spring
201750145,61.88078,-7.03463,spring
201750146,61.88078,-7.03463,spring
201750147,61.88078,-7.03463,spring
201750149,61.88078,-7.03463,spring
2017501510,61.88078,-7.03463,spring
201750153,61.88078,-7.03463,spring
201750154,61.88078,-7.03463,spring
201750155,61.88078,-7.03463,spring
201750157,61.88078,-7.03463,spring
201750158,61.88078,-7.03463,spring
201750159,61.88078,-7.03463,spring
201750201,63.06307,-19.09193,spring
201750202,63.06307,-19.09193,spring
201750203,63.06307,-19.09193,spring
201750204,63.06307,-19.09193,spring
201750205,63.06307,-19.09193,spring
201750206,63.06307,-19.09193,spring
201750207,63.06307,-19.09193,spring
201750212,63.06307,-19.09193,spring
201750214,63.06307,-19.09193,spring
201750215,63.06307,-19.09193,spring
201750216,63.06307,-19.09193,spring
201750217,63.06307,-19.09193,spring
201750218,63.06307,-19.09193,spring
201750219,63.06307,-19.09193,spring
201750221,63.06307,-19.09193,spring
201750222,63.06307,-19.09193,spring
201750223,63.06307,-19.09193,spring
201750224,63.06307,-19.09193,spring
201750225,63.06307,-19.09193,spring
201750226,63.06307,-19.09193,spring
201750227,63.06307,-19.09193,spring
201750228,63.06307,-19.09193,spring
201750231,63.06307,-19.09193,spring
201750232,63.06307,-19.09193,spring
201750233,63.06307,-19.09193,spring
201750234,63.06307,-19.09193,spring
201750235,63.06307,-19.09193,spring
201750236,63.06307,-19.09193,spring
201750237,63.06307,-19.09193,spring
201750238,63.06307,-19.09193,spring
1552004523,64.51262,-1.84517,spring
1552004524,64.51262,-1.84517,spring
1552004526,64.51262,-1.84517,spring
1552004722,64.51262,-1.84517,spring
1552004723,64.51262,-1.84517,spring
1552004724,64.51262,-1.84517,spring
1552005123,64.51262,-1.84517,spring
1552005124,64.51262,-1.84517,spring
1552005125,64.51262,-1.84517,spring
1552005524,64.51262,-1.84517,spring
1552005525,64.51262,-1.84517,spring
1552005923,64.51262,-1.84517,spring
1552005924,64.51262,-1.84517,spring
1552006326,64.51262,-1.84517,spring
1552006327,64.51262,-1.84517,spring
2015505610,64.51262,-1.84517,spring
2015505612,64.51262,-1.84517,spring
2015505613,64.51262,-1.84517,spring
2015505622,64.51262,-1.84517,spring
2015505623,64.51262,-1.84517,spring
2015505624,64.51262,-1.84517,spring
