samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
BF18_2_PRJNA642736 BF18.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138780_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138780_2.fastq
BF18_1_PRJNA642736 BF18.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138781_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138781_2.fastq
BF16_5_PRJNA642736 BF16.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138782_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138782_2.fastq
BF16_4_PRJNA642736 BF16.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138783_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138783_2.fastq
BF16_3_PRJNA642736 BF16.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138784_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138784_2.fastq
BF16_2_PRJNA642736 BF16.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138785_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138785_2.fastq
BF16_1_PRJNA642736 BF16.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138786_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138786_2.fastq
AF29_5_PRJNA642736 AF29.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138787_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138787_2.fastq
AM8_5_PRJNA642736 AM8.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138788_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138788_2.fastq
AM8_4_PRJNA642736 AM8.PRJNA642736.4 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138789_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138789_2.fastq
AM8_3_PRJNA642736 AM8.PRJNA642736.3 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138790_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138790_2.fastq
AM8_2_PRJNA642736 AM8.PRJNA642736.2 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138791_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138791_2.fastq
AM8_1_PRJNA642736 AM8.PRJNA642736.1 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138792_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138792_2.fastq
AM33_5_PRJNA642736 AM33.PRJNA642736.5 illumina /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138793_1.fastq /cfs/klemming/scratch/e/ebazzica/GenErode/data/Han_2020/SRR24138793_2.fastq
